                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.85243,                 1.5337,                 1.2215,                0.31752,                0.00518,                0.01018,                0.00873,                      0,                    nan,                      0,               0.070009,              0.0033324,              0.0033324
                      1,                0.93885,                  1.425,                 1.2828,                0.17146,                0.00456,                0.00852,                0.00701,                      0,                    nan,                      0,               0.039745,              0.0064017,              0.0064017
                      2,                 1.0783,                 1.6712,                 1.3957,                 0.1213,                0.00463,                0.00771,                  0.006,                      0,                    nan,                      0,              0.0092168,              0.0092071,              0.0092071
                      3,                 1.2044,                 1.9325,                  1.507,                0.10565,                0.00423,                0.00656,                0.00513,                      0,                    nan,                      0,               0.008812,               0.008812,               0.008812
                      4,                 1.1768,                 1.8466,                 1.4828,                0.15829,                0.00423,                0.00668,                0.00482,                      0,                    nan,                      0,               0.008812,               0.008812,               0.008812
                      5,                 1.1266,                 1.7307,                 1.4471,                0.17672,                 0.0049,                0.00801,                0.00587,                      0,                    nan,                      0,               0.008416,               0.008416,               0.008416
                      6,                 1.0935,                 1.6368,                 1.4211,                0.22243,                0.00487,                0.00833,                0.00685,                      0,                    nan,                      0,                0.00802,                0.00802,                0.00802
                      7,                 1.0511,                  1.562,                 1.3907,                 0.1722,                0.00461,                0.00848,                0.00655,                      0,                    nan,                      0,               0.007624,               0.007624,               0.007624
                      8,                 1.0235,                 1.4996,                 1.3716,                0.23856,                0.00476,                0.00858,                0.00728,                      0,                    nan,                      0,               0.007228,               0.007228,               0.007228
                      9,                0.99392,                 1.4321,                 1.3463,                 0.2467,                0.00465,                0.00948,                0.00787,                      0,                    nan,                      0,               0.006832,               0.006832,               0.006832
                     10,                0.97297,                 1.3831,                 1.3329,                0.14082,                0.00503,                0.00939,                0.00863,                      0,                    nan,                      0,               0.006436,               0.006436,               0.006436
                     11,                0.94877,                 1.3238,                 1.3166,                0.24521,                0.00504,                0.00909,                0.00774,                      0,                    nan,                      0,                0.00604,                0.00604,                0.00604
                     12,                0.92976,                 1.2822,                 1.2999,                0.18656,                0.00477,                0.01026,                0.00868,                      0,                    nan,                      0,               0.005644,               0.005644,               0.005644
                     13,                0.91252,                 1.2361,                 1.2844,                0.33594,                0.00498,                0.01029,                0.00911,                      0,                    nan,                      0,               0.005248,               0.005248,               0.005248
                     14,                0.89095,                 1.2014,                 1.2699,                0.23281,                0.00528,                0.01102,                0.00941,                      0,                    nan,                      0,               0.004852,               0.004852,               0.004852
                     15,                  0.854,                 1.0898,                 1.2526,                0.32295,                0.00481,                0.01172,                0.01077,                      0,                    nan,                      0,               0.004456,               0.004456,               0.004456
                     16,                0.83539,                 1.0656,                 1.2397,                0.35704,                 0.0051,                0.01079,                0.00971,                      0,                    nan,                      0,                0.00406,                0.00406,                0.00406
                     17,                0.81139,                 1.0124,                  1.218,                0.35982,                0.00506,                0.01323,                0.01179,                      0,                    nan,                      0,               0.003664,               0.003664,               0.003664
                     18,                0.79286,                0.96169,                 1.2016,                0.31414,                0.00528,                0.01444,                0.01285,                      0,                    nan,                      0,               0.003268,               0.003268,               0.003268
                     19,                 0.7667,                 0.9206,                 1.1793,                0.23741,                0.00517,                0.01561,                0.01377,                      0,                    nan,                      0,               0.002872,               0.002872,               0.002872
                     20,                0.74639,                0.87524,                 1.1649,                0.58744,                0.00527,                0.01618,                0.01377,                      0,                    nan,                      0,               0.002476,               0.002476,               0.002476
                     21,                0.71759,                0.83455,                 1.1412,                0.34663,                0.00527,                0.01575,                0.01388,                      0,                    nan,                      0,                0.00208,                0.00208,                0.00208
                     22,                 0.7002,                 0.7775,                 1.1249,                0.54137,                0.00494,                0.01456,                0.01283,                      0,                    nan,                      0,               0.001684,               0.001684,               0.001684
                     23,                0.67923,                0.74418,                 1.1114,                0.33333,                0.00492,                0.01444,                0.01286,                      0,                    nan,                      0,               0.001288,               0.001288,               0.001288
                     24,                 0.6614,                0.71433,                 1.0946,                0.18346,                0.00494,                0.01675,                0.01489,                      0,                    nan,                      0,               0.000892,               0.000892,               0.000892
